Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Clips Created,Clip Views,Reactions Hype,Reactions Funny,Reactions Love,Reactions Whaaat?,Reactions Oh No!
11:31 AM,0,1,0,0,0,0,0,0,0,0,0,0
11:32 AM,2,1,0,0,0,0,0,0,0,0,0,0
11:33 AM,1,0,0,0,0,0,0,0,0,0,0,0
11:34 AM,1,0,0,0,0,0,0,0,0,0,0,0
11:35 AM,1,0,0,0,0,0,0,0,0,0,0,0
11:36 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:37 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:38 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:39 AM,1,1,0,0,0,0,0,0,0,0,0,0
11:40 AM,1,0,0,0,0,0,0,0,0,0,0,0
11:41 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:42 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:43 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:44 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:45 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:46 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:47 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:48 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:49 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:50 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:51 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:52 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:53 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:54 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:55 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:56 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:57 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:58 AM,0,0,0,0,0,0,0,0,0,0,0,0
11:59 AM,0,0,0,0,0,0,0,0,0,0,0,0
12:00 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:01 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:02 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:03 PM,0,1,0,0,0,0,0,0,0,0,0,0
12:04 PM,1,0,0,0,0,0,0,0,0,0,0,0
12:05 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:06 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:07 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:08 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:09 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:10 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:11 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:12 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:13 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:14 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:15 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:16 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:17 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:18 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:19 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:20 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:21 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:22 PM,1,1,0,0,0,0,0,0,0,0,0,0
12:23 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:24 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:25 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:26 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:27 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:28 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:29 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:30 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:31 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:32 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:33 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:34 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:35 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:36 PM,0,0,0,0,0,0,0,0,0,0,0,0
12:37 PM,0,0,0,0,0,0,0,0,0,0,0,0
